2021-12-27 13:28:22.178 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00067号' WHERE presell_id=0
2021-12-27 13:28:22.181 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00084号' WHERE presell_id=0
2021-12-27 13:28:22.264 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00083号' WHERE presell_id=0
2021-12-27 13:28:22.288 [DEBU] [ 24 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00066号' WHERE presell_id=0
2021-12-27 13:28:22.308 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00065号' WHERE presell_id=0
2021-12-27 13:28:22.382 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00064号' WHERE presell_id=0
2021-12-27 13:28:22.383 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00082号' WHERE presell_id=0
2021-12-27 13:28:22.495 [DEBU] [ 40 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00063号' WHERE presell_id=0
2021-12-27 13:28:22.496 [DEBU] [ 47 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00081号' WHERE presell_id=0
2021-12-27 13:28:22.542 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00062号' WHERE presell_id=0
2021-12-27 13:28:22.584 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00061号' WHERE presell_id=0
2021-12-27 13:28:22.587 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00080号' WHERE presell_id=0
2021-12-27 13:28:22.631 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00060号' WHERE presell_id=0
2021-12-27 13:28:22.632 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00058号' WHERE presell_id=0
2021-12-27 13:28:22.683 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00079号' WHERE presell_id=0
2021-12-27 13:28:22.685 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00057号' WHERE presell_id=0
2021-12-27 13:28:22.743 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00056号' WHERE presell_id=0
2021-12-27 13:28:22.752 [DEBU] [ 30 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00078号' WHERE presell_id=0
2021-12-27 13:28:22.802 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00054号' WHERE presell_id=0
2021-12-27 13:28:22.833 [DEBU] [ 22 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00055号' WHERE presell_id=0
2021-12-27 13:28:22.874 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00051号' WHERE presell_id=0
2021-12-27 13:28:23.004 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00050号' WHERE presell_id=0
2021-12-27 13:28:23.181 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00052号' WHERE presell_id=0
2021-12-27 13:28:23.275 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售备字（2021）第ZJ00004号' WHERE presell_id=0
2021-12-27 13:28:23.313 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00049号' WHERE presell_id=0
2021-12-27 13:28:23.323 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2021）第ZJ00048号' WHERE presell_id=0
2021-12-27 13:28:23.357 [DEBU] [ 14 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00047号' WHERE presell_id=0
2021-12-27 13:28:23.374 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00046号' WHERE presell_id=0
2021-12-27 13:28:23.407 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00044号' WHERE presell_id=0
2021-12-27 13:28:23.431 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00043号' WHERE presell_id=0
2021-12-27 13:28:23.483 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00039号' WHERE presell_id=0
2021-12-27 13:28:23.496 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00041号' WHERE presell_id=0
2021-12-27 13:28:23.524 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='青售备字（2021）第ZJ00003号' WHERE presell_id=0
2021-12-27 13:28:23.542 [DEBU] [ 23 ms] [default] UPDATE `presell` SET `presell_name`='青售备字（2021）第ZJ00002号' WHERE presell_id=0
2021-12-27 13:28:23.581 [DEBU] [ 14 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00037号' WHERE presell_id=0
2021-12-27 13:28:23.597 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00038号' WHERE presell_id=0
2021-12-27 13:28:23.639 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='云售许字（2021）第ZJ00036号' WHERE presell_id=0
2021-12-27 13:28:23.667 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2021）第ZJ00035号' WHERE presell_id=0
2021-12-27 13:28:23.672 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='售许字（2015）第13号' WHERE presell_id=0
2021-12-27 13:28:23.744 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00034号' WHERE presell_id=0
2021-12-27 13:28:23.751 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00033号' WHERE presell_id=0
2021-12-27 13:28:23.795 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00030号' WHERE presell_id=0
2021-12-27 13:28:23.799 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00032号' WHERE presell_id=0
2021-12-27 13:28:23.835 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00029号' WHERE presell_id=0
2021-12-27 13:28:23.848 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00028号' WHERE presell_id=0
2021-12-27 13:28:23.871 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00027号' WHERE presell_id=0
2021-12-27 13:28:23.897 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='景售许字（2021）第ZJ00026号' WHERE presell_id=0
2021-12-27 13:28:23.913 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00010号' WHERE presell_id=0
2021-12-27 13:28:23.950 [DEBU] [ 25 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2021）第ZJ00009号' WHERE presell_id=0
2021-12-27 13:28:23.953 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2021）第ZJ00007号' WHERE presell_id=0
2021-12-27 13:28:23.995 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00005号' WHERE presell_id=0
2021-12-27 13:28:24.000 [DEBU] [ 22 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2021）第ZJ00006号' WHERE presell_id=0
2021-12-27 13:28:24.035 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2021）第ZJ00003号' WHERE presell_id=0
2021-12-27 13:28:24.042 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2021）第ZJ00004号' WHERE presell_id=0
2021-12-27 13:28:24.078 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2021）第ZJ00002号' WHERE presell_id=0
2021-12-27 13:28:24.110 [DEBU] [ 27 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2021）第ZJ00001号' WHERE presell_id=0
2021-12-27 13:28:24.131 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2020）第ZJ00021号' WHERE presell_id=0
2021-12-27 13:28:24.156 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2020）第ZJ00020号' WHERE presell_id=0
2021-12-27 13:28:24.172 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第ZJ00019号' WHERE presell_id=0
2021-12-27 13:28:24.288 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='庆售许字（2020）第ZJ00018号' WHERE presell_id=0
2021-12-27 13:28:24.310 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00017号' WHERE presell_id=0
2021-12-27 13:28:24.367 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00016号' WHERE presell_id=0
2021-12-27 13:28:24.388 [DEBU] [ 18 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00015号' WHERE presell_id=0
2021-12-27 13:28:24.422 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第ZJ00014号' WHERE presell_id=0
2021-12-27 13:28:24.424 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2020）第ZJ00013号' WHERE presell_id=0
2021-12-27 13:28:24.486 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00012号' WHERE presell_id=0
2021-12-27 13:28:24.487 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2020）第ZJ00011号' WHERE presell_id=0
2021-12-27 13:28:24.533 [DEBU] [ 17 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2020）第ZJ00009号' WHERE presell_id=0
2021-12-27 13:28:24.537 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2020）第ZJ00010号' WHERE presell_id=0
2021-12-27 13:28:24.584 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2020）第ZJ00008号' WHERE presell_id=0
2021-12-27 13:28:24.601 [DEBU] [ 24 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第ZJ00007号' WHERE presell_id=0
2021-12-27 13:28:24.642 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2020）第ZJ00006号' WHERE presell_id=0
2021-12-27 13:28:24.675 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00005号' WHERE presell_id=0
2021-12-27 13:28:24.678 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2020）第ZJ00004号' WHERE presell_id=0
2021-12-27 13:28:24.717 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第ZJ00003号' WHERE presell_id=0
2021-12-27 13:28:24.721 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00002号' WHERE presell_id=0
2021-12-27 13:28:24.757 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第01764号' WHERE presell_id=0
2021-12-27 13:28:24.782 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第ZJ00001号' WHERE presell_id=0
2021-12-27 13:28:24.804 [DEBU] [ 16 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第01763号' WHERE presell_id=0
2021-12-27 13:28:24.836 [DEBU] [ 19 ms] [default] UPDATE `presell` SET `presell_name`='丽售许字（2020）第01762号' WHERE presell_id=0
2021-12-27 13:28:24.838 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2020）第01742号' WHERE presell_id=0
2021-12-27 13:28:24.875 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第01707号' WHERE presell_id=0
2021-12-27 13:28:24.878 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='遂售许字（2020）第01722号' WHERE presell_id=0
2021-12-27 13:28:24.912 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='龙售许字（2020）第01706号' WHERE presell_id=0
2021-12-27 13:28:24.929 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='丽经开售许字（2020）第01704号' WHERE presell_id=0
2021-12-27 13:28:24.952 [DEBU] [ 14 ms] [default] UPDATE `presell` SET `presell_name`='松售许字（2020）第01703号' WHERE presell_id=0
2021-12-27 13:28:24.989 [DEBU] [ 15 ms] [default] UPDATE `presell` SET `presell_name`='青售许字（2020）第01702号' WHERE presell_id=0
2021-12-27 13:28:24.994 [DEBU] [ 20 ms] [default] UPDATE `presell` SET `presell_name`='莲售许字（2020）第01682号' WHERE presell_id=0
2021-12-27 13:28:25.037 [DEBU] [ 21 ms] [default] UPDATE `presell` SET `presell_name`='缙售许字（2020）第01662号' WHERE presell_id=0
